country,country_long,region,continent,latitude,longitude,rural_land,urban_land,population,rural_population,urban_population,democracy_score,democracy_type
Djibouti,Republic of Djibouti,Eastern Africa,Africa,11.5,43.0,21571.8,51.2502,1120849,242328,878521,2.87,Authoritarian
Dominica,Commonwealth of Dominica,Caribbean,Americas,15.41666666,-61.33333333,735.839,20.9994,72737,20585,52152,0.0,Unknown
Dominican Republic,Dominican Republic,Caribbean,Americas,19.0,-70.66666666,45389.6,2504.49,11228821,1813679,9415142,6.54,Flawed democracy
Ecuador,Republic of Ecuador,South America,Americas,-2.0,-77.5,253214.0,2293.85,18001000,6377754,11623246,6.27,Flawed democracy
Egypt,Arab Republic of Egypt,Northern Africa,Africa,27.0,30.0,971206.0,18918.0,110990103,63300985,47689118,3.36,Authoritarian
El Salvador,Republic of El Salvador,Central America,Americas,13.83333333,-88.91666666,18676.4,1559.87,6336392,1598862,4737530,5.96,Hybrid regime
Equatorial Guinea,Republic of Equatorial Guinea,Middle Africa,Africa,2.0,10.0,26898.2,136.734,1674908,435309,1239599,1.92,Authoritarian
Eritrea,State of Eritrea,Eastern Africa,Africa,15.0,39.0,120001.0,331.192,3684032,2113713,1570319,2.37,Authoritarian
Estonia,Republic of Estonia,Northern Europe,Europe,59.0,26.0,42656.6,449.972,1344768,408688,936080,7.97,Flawed democracy
Eswatini,Kingdom of Eswatini,Southern Africa,Africa,-26.5,31.5,17073.2,177.919,1201670,906348,295322,3.03,Authoritarian
Ethiopia,Federal Democratic Republic of Ethiopia,Eastern Africa,Africa,8.0,38.0,1124620.0,5760.66,123379924,95420799,27959125,3.35,Authoritarian
Fiji,Republic of Fiji,Melanesia,Oceania,-18.0,175.0,18883.8,117.257,929766,388373,541393,5.85,Hybrid regime
Finland,Republic of Finland,Northern Europe,Europe,64.0,26.0,302766.0,2242.66,5556880,795690,4761190,9.14,Full democracy
France,French Republic,Western Europe,Europe,46.0,2.0,522936.0,23030.7,67935660,12561983,55373677,7.8,Flawed democracy
Gabon,Gabonese Republic,Middle Africa,Africa,-1.0,11.75,263338.0,311.6,2388992,221340,2167652,3.61,Authoritarian
Georgia,Georgia,Western Asia,Asia,42.0,43.5,68068.7,1130.16,3712502,1473975,2238527,5.5,Hybrid regime
Germany,Federal Republic of Germany,Western Europe,Europe,51.0,9.0,316383.0,36996.4,84079811,18793519,65286292,8.68,Full democracy
Ghana,Republic of Ghana,Western Africa,Africa,8.0,-2.0,227830.0,5559.55,33475870,13853989,19621881,6.63,Flawed democracy
Greece,Hellenic Republic,Southern Europe,Europe,39.0,22.0,128796.0,2748.66,10566531,2075584,8490947,7.29,Flawed democracy
Grenada,Grenada,Caribbean,Americas,12.11666666,-61.66666666,291.375,68.5197,125438,79192,46246,0.0,Unknown
Guatemala,Republic of Guatemala,Central America,Americas,15.5,-90.25,105527.0,2900.62,17357886,8216182,9141704,5.6,Hybrid regime
Guinea,Republic of Guinea,Western Africa,Africa,11.0,-10.0,244206.0,1390.66,13859341,8638804,5220537,3.14,Authoritarian
Guinea-Bissau,Republic of Guinea-Bissau,Western Africa,Africa,12.0,-15.0,33293.4,196.264,2105566,1157198,948368,1.98,Authoritarian
